GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
101;77;SOSA;00:58:07;00:16:45;2:14 min/km — 26,87 km/h;00:33:27;1:07 min/km — 53,81 km/h;00:07:55;1:35 min/km — 37,89 km/h;MB Coaching
102;78;SELLANES;00:58:29;00:16:56;2:15 min/km — 26,57 km/h;00:33:18;1:07 min/km — 54,05 km/h;00:08:15;1:39 min/km — 36,36 km/h;DEPORSUR
103;79;PERILLO;00:58:44;00:16:43;2:14 min/km — 26,92 km/h;00:33:26;1:07 min/km — 53,84 km/h;00:08:35;1:43 min/km — 34,95 km/h;EQUIPO KORU
104;80;LINGERI;00:59:27;00:17:25;2:19 min/km — 25,84 km/h;00:32:52;1:06 min/km — 54,77 km/h;00:09:10;1:50 min/km — 32,73 km/h;MB Coaching
105;81;FERNANDEZ;00:59:57;00:17:34;2:21 min/km — 25,62 km/h;00:32:52;1:06 min/km — 54,77 km/h;00:09:31;1:54 min/km — 31,52 km/h;DEPORSUR
106;82;LAURO;00:59:57;00:17:45;2:22 min/km — 25,35 km/h;00:32:33;1:05 min/km — 55,30 km/h;00:09:39;1:56 min/km — 31,09 km/h;EQUIPO KORU
107;83;SARLA;01:00:08;00:17:25;2:19 min/km — 25,84 km/h;00:33:03;1:06 min/km — 54,46 km/h;00:09:40;1:56 min/km — 31,03 km/h;MB Coaching
108;84;PEREYRA;01:00:09;00:17:26;2:19 min/km — 25,81 km/h;00:33:03;1:06 min/km — 54,46 km/h;00:09:40;1:56 min/km — 31,03 km/h;DEPORSUR
109;85;VICENTINO;01:00:20;00:18:12;2:26 min/km — 24,73 km/h;00:33:03;1:06 min/km — 54,46 km/h;00:09:05;1:49 min/km — 33,03 km/h;EQUIPO KORU
110;86;ANGELORO;01:00:35;00:18:45;2:30 min/km — 24,00 km/h;00:32:51;1:06 min/km — 54,79 km/h;00:08:59;1:48 min/km — 33,40 km/h;MB Coaching
111;87;TRENTINI;01:01:11;00:17:26;2:19 min/km — 25,81 km/h;00:34:27;1:09 min/km — 52,25 km/h;00:09:18;1:52 min/km — 32,26 km/h;DEPORSUR
112;88;MARCO;01:01:20;00:18:31;2:28 min/km — 24,30 km/h;00:33:19;1:07 min/km — 54,03 km/h;00:09:30;1:54 min/km — 31,58 km/h;EQUIPO KORU
113;89;INZAURRALDE;01:01:46;00:18:49;2:31 min/km — 23,91 km/h;00:33:30;1:07 min/km — 53,73 km/h;00:09:27;1:53 min/km — 31,75 km/h;MB Coaching
114;90;SILVEIRA;01:02:00;00:17:19;2:19 min/km — 25,99 km/h;00:34:38;1:09 min/km — 51,97 km/h;00:10:03;2:01 min/km — 29,85 km/h;DEPORSUR
115;91;FERNANDEZ;01:02:43;00:17:50;2:23 min/km — 25,23 km/h;00:35:42;1:11 min/km — 50,42 km/h;00:09:11;1:50 min/km — 32,67 km/h;EQUIPO KORU
116;92;ANTUNEZ;01:02:55;00:17:32;2:20 min/km — 25,67 km/h;00:35:57;1:12 min/km — 50,07 km/h;00:09:26;1:53 min/km — 31,80 km/h;MB Coaching
117;93;SILVEIRA;01:03:23;00:16:54;2:15 min/km — 26,63 km/h;00:36:50;1:14 min/km — 48,87 km/h;00:09:39;1:56 min/km — 31,09 km/h;DEPORSUR
118;94;DUARTE;01:03:34;00:18:32;2:28 min/km — 24,28 km/h;00:35:33;1:11 min/km — 50,63 km/h;00:09:29;1:54 min/km — 31,63 km/h;EQUIPO KORU
119;95;LIMA;01:03:41;00:18:50;2:31 min/km — 23,89 km/h;00:34:44;1:09 min/km — 51,82 km/h;00:10:07;2:01 min/km — 29,65 km/h;MB Coaching
120;96;RODRIGUEZ;01:03:57;00:18:37;2:29 min/km — 24,17 km/h;00:35:30;1:11 min/km — 50,70 km/h;00:09:50;1:58 min/km — 30,51 km/h;DEPORSUR
121;97;SANCHEZ;01:04:08;00:18:43;2:30 min/km — 24,04 km/h;00:36:07;1:12 min/km — 49,84 km/h;00:09:18;1:52 min/km — 32,26 km/h;EQUIPO KORU
122;98;PINTOS;01:04:40;00:19:30;2:36 min/km — 23,08 km/h;00:34:32;1:09 min/km — 52,12 km/h;00:10:38;2:08 min/km — 28,21 km/h;MB Coaching
123;99;MARTINEZ;01:04:49;00:18:45;2:30 min/km — 24,00 km/h;00:34:47;1:10 min/km — 51,75 km/h;00:11:17;2:15 min/km — 26,59 km/h;DEPORSUR
124;100;CANTOU;01:05:00;00:18:42;2:30 min/km — 24,06 km/h;00:35:37;1:11 min/km — 50,54 km/h;00:10:41;2:08 min/km — 28,08 km/h;EQUIPO KORU
125;101;CLOSAS;01:05:10;00:19:42;2:38 min/km — 22,84 km/h;00:35:25;1:11 min/km — 50,82 km/h;00:10:03;2:01 min/km — 29,85 km/h;MB Coaching
126;102;MENDOZA;01:05:23;00:19:25;2:35 min/km — 23,18 km/h;00:34:43;1:09 min/km — 51,85 km/h;00:11:15;2:15 min/km — 26,67 km/h;DEPORSUR
127;103;GIANFAGNA;01:05:44;00:19:25;2:35 min/km — 23,18 km/h;00:36:49;1:14 min/km — 48,89 km/h;00:09:30;1:54 min/km — 31,58 km/h;EQUIPO KORU
128;104;RODRIGUEZ;01:05:54;00:20:15;2:42 min/km — 22,22 km/h;00:35:10;1:10 min/km — 51,18 km/h;00:10:29;2:06 min/km — 28,62 km/h;MB Coaching
129;105;ACOSTA;01:05:58;00:20:55;2:47 min/km — 21,51 km/h;00:34:22;1:09 min/km — 52,38 km/h;00:10:41;2:08 min/km — 28,08 km/h;DEPORSUR
130;106;SERVETTI;01:06:07;00:19:39;2:37 min/km — 22,90 km/h;00:36:08;1:12 min/km — 49,82 km/h;00:10:20;2:04 min/km — 29,03 km/h;EQUIPO KORU
131;107;GRCIC;01:06:09;00:19:49;2:39 min/km — 22,71 km/h;00:36:18;1:13 min/km — 49,59 km/h;00:10:02;2:00 min/km — 29,90 km/h;MB Coaching
132;108;JOEL;01:06:25;00:18:52;2:31 min/km — 23,85 km/h;00:37:02;1:14 min/km — 48,60 km/h;00:10:31;2:06 min/km — 28,53 km/h;DEPORSUR
133;109;BELOQUI;01:06:27;00:21:07;2:49 min/km — 21,31 km/h;00:35:01;1:10 min/km — 51,40 km/h;00:10:19;2:04 min/km — 29,08 km/h;EQUIPO KORU
134;110;RODRIGUEZ;01:06:29;00:20:51;2:47 min/km — 21,58 km/h;00:35:06;1:10 min/km — 51,28 km/h;00:10:32;2:06 min/km — 28,48 km/h;MB Coaching
135;111;DIAZ;01:06:50;00:23:08;3:05 min/km — 19,45 km/h;00:31:34;1:03 min/km — 57,02 km/h;00:12:08;2:26 min/km — 24,73 km/h;DEPORSUR
136;112;MOREIRA;01:07:24;00:20:59;2:48 min/km — 21,45 km/h;00:35:05;1:10 min/km — 51,31 km/h;00:11:20;2:16 min/km — 26,47 km/h;EQUIPO KORU
